"Iteration","Variable_Removed","RMSE","R2","SYNOPCode"
1,"Frequency",0.37522173232529,0.989402146448601,"0"
2,"WindDirection",0.376601803541857,0.989339459947564,"0"
3,"RainIntensity",0.373404110719645,0.989497279492654,"0"
4,"RainIntensityMax",0.374436794214114,0.989419626198558,"0"
5,"RainIntensityMin",0.374017795805338,0.98947829854381,"0"
6,"WindSpeed",0.370443585685536,0.989649901282589,"0"
7,"AbsoluteHumidityMin",0.372310523274436,0.989554917666233,"0"
8,"ParticulateMax",0.374653080427612,0.989435440268245,"0"
9,"AbsoluteHumidityMax",0.373460551409099,0.989485898104347,"0"
10,"Particulate",0.370269886375817,0.989662574708075,"0"
11,"RelativeHumidity",0.372088901930891,0.989614532865942,"0"
12,"AbsoluteHumidity",0.381058383584545,0.989101288992793,"0"
13,"TemperatureMax",0.431760373985484,0.985881213334278,"0"
14,"VisibilityMin",0.448519625804719,0.984924560220121,"0"
15,"ParticulateMin",0.444502601943264,0.985098850931218,"0"
16,"TemperatureMin",0.455256016855139,0.984355176564114,"0"
17,"VisibilityMax",0.491734284772538,0.982409797119218,"0"
18,"WindSpeedMax",0.493666624291807,0.982136076427464,"0"
19,"Visibility",0.488234576691405,0.982204207232892,"0"
20,"Time",0.966659105698217,0.93692075659686,"0"
21,"WindSpeedMin",0.935190056905023,0.935499099630365,"0"
22,"TemperatureDifference",0.785401159847658,0.953100798351109,"0"
23,"Temperature",0.813876820871202,0.949154201297898,"0"
1,"Frequency",0.381895856241302,0.992725547326647,"6"
2,"WindDirection",0.388877189981802,0.992433936403429,"6"
3,"RainIntensity",0.382805139515152,0.992690540213462,"6"
4,"AbsoluteHumidityMin",0.37675209577073,0.99289793347817,"6"
5,"RainIntensityMin",0.381500385654206,0.992732985650876,"6"
6,"AbsoluteHumidityMax",0.372960577197951,0.993064283409099,"6"
7,"RainIntensityMax",0.376689339510666,0.992905270352052,"6"
8,"ParticulateMin",0.381590742380862,0.992740215872984,"6"
9,"VisibilityMax",0.366574747460915,0.993284222354913,"6"
10,"TemperatureMax",0.366799761438791,0.99327483389849,"6"
11,"TemperatureMin",0.366929254871555,0.993316270163267,"6"
12,"WindSpeedMax",0.363066846938323,0.993415439244144,"6"
13,"ParticulateMax",0.364600292238527,0.993362268246083,"6"
14,"VisibilityMin",0.363872758494178,0.993472635770172,"6"
15,"WindSpeed",0.351600991141197,0.993957872142804,"6"
16,"AbsoluteHumidity",0.347414318586812,0.99399523079801,"6"
17,"Temperature",0.384550894005718,0.992926206523516,"6"
18,"TemperatureDifference",0.495991250188579,0.98827278533385,"6"
19,"Visibility",0.546736750627599,0.985409232246749,"6"
20,"RelativeHumidity",0.91303836263409,0.964184766547515,"6"
21,"WindSpeedMin",1.15114715423137,0.940565013808256,"6"
22,"Time",1.26924273282834,0.921644150922147,"6"
23,"Particulate",1.15809163101201,0.932021072136373,"6"
1,"Frequency",0.398945519667551,0.988491615125995,"5"
2,"WindDirection",0.391763657198908,0.988895198301212,"5"
3,"RainIntensityMin",0.388521794292422,0.989018269235502,"5"
4,"RainIntensityMax",0.398669145491253,0.988587295850393,"5"
5,"AbsoluteHumidityMin",0.393571410386845,0.988699399428346,"5"
6,"WindSpeed",0.388858346501388,0.989056981666895,"5"
7,"RainIntensity",0.38859013126052,0.989050866051458,"5"
8,"AbsoluteHumidityMax",0.384897714848232,0.989272358772213,"5"
9,"TemperatureMin",0.378464625308277,0.989690338747262,"5"
10,"ParticulateMax",0.392274673342332,0.988898601585942,"5"
11,"AbsoluteHumidity",0.382825038533426,0.989348980230419,"5"
12,"ParticulateMin",0.386093499282917,0.989294408567415,"5"
13,"VisibilityMin",0.371817913875738,0.990083894113087,"5"
14,"WindSpeedMin",0.382800966971918,0.989610171566577,"5"
15,"TemperatureMax",0.382242019652978,0.989585663592389,"5"
16,"WindSpeedMax",0.381323299460742,0.989670800275261,"5"
17,"TemperatureDifference",0.409106853466755,0.988475904840478,"5"
18,"VisibilityMax",0.423532583089671,0.987336930223576,"5"
19,"Temperature",0.420058266077301,0.987321006740559,"5"
20,"Time",0.718241809246845,0.967325634006689,"5"
21,"RelativeHumidity",0.782636743345701,0.958459431527018,"5"
22,"Visibility",0.884393855750003,0.944403386165397,"5"
23,"Distance",1.20767348443975,0.893348507138234,"5"
1,"WindDirection",0.461938185517782,0.987599101583911,"8"
2,"Frequency",0.458144720532275,0.987954390556135,"8"
3,"RainIntensityMin",0.457531958484857,0.987896646726128,"8"
4,"RainIntensity",0.454412093264117,0.988161090079002,"8"
5,"WindSpeed",0.454264110605067,0.988034414155233,"8"
6,"TemperatureMax",0.452950399051627,0.988109157684813,"8"
7,"WindSpeedMin",0.446621664821678,0.988322744266884,"8"
8,"RainIntensityMax",0.456092950443236,0.987990465162385,"8"
9,"AbsoluteHumidityMax",0.449918888968865,0.988252204627583,"8"
10,"ParticulateMax",0.443175964519478,0.98853238006058,"8"
11,"AbsoluteHumidityMin",0.442678979374886,0.988592092552504,"8"
12,"VisibilityMax",0.441927072403179,0.988648393589052,"8"
13,"TemperatureMin",0.436717113579863,0.989001858699416,"8"
14,"TemperatureDifference",0.433848145122001,0.989289364333967,"8"
15,"WindSpeedMax",0.449651095310485,0.9883992157274,"8"
16,"Visibility",0.452150873958918,0.987977708827863,"8"
17,"Particulate",0.471253203362507,0.987363766897715,"8"
18,"Time",0.452702464858038,0.98814408753883,"8"
19,"AbsoluteHumidity",0.479321266612313,0.986522662781426,"8"
20,"Temperature",0.61536859017096,0.979584946392008,"8"
21,"ParticulateMin",0.729869172734757,0.970923977905595,"8"
22,"RelativeHumidity",0.741233637209344,0.968754074777542,"8"
23,"VisibilityMin",0.977981549095551,0.943288056062816,"8"
1,"WindDirection",0.813972164489135,0.993042102400754,"3"
2,"Particulate",0.829770256383808,0.992495547865629,"3"
3,"Frequency",0.887893996148295,0.991792348723034,"3"
4,"ParticulateMax",0.809692736316535,0.992643371241027,"3"
5,"ParticulateMin",0.738857592577121,0.994214362559527,"3"
6,"RainIntensity",0.784815924125907,0.992981201040966,"3"
7,"RainIntensityMax",0.898199593482445,0.990644759505395,"3"
8,"RainIntensityMin",0.831788820796494,0.992679602198548,"3"
9,"WindSpeedMin",0.84372016627696,0.992604857024349,"3"
10,"WindSpeed",0.820877253966333,0.992299064320371,"3"
11,"WindSpeedMax",0.797586445373524,0.99273966595449,"3"
12,"AbsoluteHumidity",0.836022947816868,0.991985468874368,"3"
13,"AbsoluteHumidityMax",0.811587116807449,0.99292961419527,"3"
14,"AbsoluteHumidityMin",0.757191977342397,0.993288775695614,"3"
15,"RelativeHumidity",0.797604728197045,0.992924090916726,"3"
16,"TemperatureMin",0.906498337434118,0.9908069960694,"3"
17,"TemperatureMax",0.908417573638518,0.990925263181768,"3"
18,"TemperatureDifference",1.0550511598391,0.986483192719719,"3"
19,"VisibilityMax",1.14948341223049,0.983132992514851,"3"
20,"Distance",1.25199244424009,0.981947221019872,"3"
21,"Visibility",1.17815613886255,0.983219082871099,"3"
22,"Temperature",1.07765653238762,0.987003662327739,"3"
23,"VisibilityMin",1.955951158884,0.950214644731996,"3"
1,"Frequency",0.303190851649252,0.994460857902606,"4"
2,"RainIntensityMax",0.299103720745452,0.994573881762636,"4"
3,"WindDirection",0.296301045802456,0.994747459223919,"4"
4,"RainIntensityMin",0.293253082873837,0.994748929188639,"4"
5,"RainIntensity",0.296237092495824,0.994651356346507,"4"
6,"AbsoluteHumidityMax",0.306300043270335,0.994299849146205,"4"
7,"AbsoluteHumidityMin",0.273745512005385,0.995440885059686,"4"
8,"VisibilityMax",0.309444040755465,0.994120835729232,"4"
9,"WindSpeedMin",0.309049644707021,0.994149372933253,"4"
10,"AbsoluteHumidity",0.293817004440036,0.994742349112757,"4"
11,"VisibilityMin",0.297101989342221,0.994600995823384,"4"
12,"TemperatureMax",0.29862421004066,0.994582480193849,"4"
