"Iteration","Variable_Removed","RMSE","R2","SYNOPCode"
1,"WindDirection",0.201067592285337,0.994053563705834,"0"
2,"RainIntensityMax",0.202801385650897,0.993970639856343,"0"
3,"RainIntensity",0.200002052303226,0.99412856888078,"0"
4,"RainIntensityMin",0.192999840519222,0.994513767946792,"0"
5,"Particulate",0.204871761519578,0.993834941517867,"0"
6,"ParticulateMax",0.197232789721304,0.994281022537067,"0"
7,"ParticulateMin",0.193476247322649,0.994478647939693,"0"
8,"WindSpeed",0.204851506533299,0.993851078223462,"0"
9,"TemperatureMin",0.195915261263255,0.994371641996068,"0"
10,"RelativeHumidity",0.192044846644519,0.994564922623446,"0"
11,"TemperatureMax",0.208187377334312,0.993688714967808,"0"
12,"AbsoluteHumidityMax",0.207594575583786,0.993685661082096,"0"
13,"VisibilityMax",0.203910137865988,0.993861619447468,"0"
14,"VisibilityMin",0.205804660187364,0.993855171686804,"0"
15,"WindSpeedMax",0.202582704334421,0.993997098232334,"0"
16,"Temperature",0.203863238918387,0.993857843699656,"0"
17,"TemperatureDifference",0.265434917313923,0.989960369912256,"0"
18,"AbsoluteHumidityMin",0.257021636448614,0.990347887278675,"0"
19,"WindSpeedMin",0.256651896457234,0.990397498573561,"0"
20,"Frequency",1.04771577021005,0.902849873036088,"0"
21,"Visibility",0.404375270937744,0.977277712639494,"0"
22,"AbsoluteHumidity",0.525952470202632,0.960997087011498,"0"
23,"Time",1.09555420260875,0.824501412804138,"0"
1,"WindDirection",0.33961496583555,0.993247793626453,"6"
2,"Particulate",0.34083665489701,0.993235102212567,"6"
3,"TemperatureMin",0.337291317423226,0.993360108342321,"6"
4,"ParticulateMax",0.335134102641524,0.993432457780479,"6"
5,"TemperatureMax",0.331170546382622,0.993620097336907,"6"
6,"VisibilityMax",0.330011472613508,0.993623759942819,"6"
7,"ParticulateMin",0.326147191385817,0.99378280876544,"6"
8,"WindSpeedMin",0.328795191768102,0.993720102592115,"6"
9,"RainIntensityMin",0.33220793052047,0.993564989933603,"6"
10,"AbsoluteHumidityMin",0.315728168278223,0.99420756963848,"6"
11,"VisibilityMin",0.314327575175436,0.99430162863022,"6"
12,"AbsoluteHumidityMax",0.31350013734474,0.994342495171139,"6"
13,"RelativeHumidity",0.310406771522033,0.994421799787141,"6"
14,"WindSpeedMax",0.350162410291407,0.992940659788826,"6"
15,"RainIntensityMax",0.338427115071479,0.993384833848264,"6"
16,"WindSpeed",0.321331615235924,0.994144909424615,"6"
